Investor Name,Type,POC Name,Designation,Website,LinkedIn,Twitter,Cheque Size / Portfolio Range,Sectors (Tags),Portfolio Companies,Profile Bio
NuWare,Angel Investor,Venk Krishnan,Founder & CEO at NuWare,,https://www.linkedin.com/in/venkkrishnan/,,$25k - $50k,"Fintech, HealthTech, Consumer","Lucidity, Parentlane, Wealth42, Acko","Venk Krishnan is the visionary founder of NuWare, a company that has experienced rapid growth by aligning with market trends and meeting customer needs. Under Venk's leadership, NuWare has achieved significant recognition, including listings on the Inc. 500 for two consecutive years and being ranked as a Fast 50 company by Deloitte and Touche. Prior to NuWare, Venk successfully founded GovXcel, a software company that catered to the US local government sector and was later acquired in 2003. Venk's usual investments cheque sizes are between $25k to $50k."
Venture Catalysts,VC (Tier 1),Miloni Ghatalia,Senior Investment Associate at Venture Catalysts,https://venturecatalysts.in/,https://www.linkedin.com/in/miloni-ghatalia-661a53163/,,$3M - $6M,"Fintech, HealthTech, Edtech, Agritech, SaaS","Altor, Fyllo, Beardo, Dukaan, ConfirmKit","Venture Catalysts is the largest integrated incubator in Asia, offering a comprehensive innovation platform to support startup growth. Their programs, angel network, venture fund, and incubation centers provide valuable resources and support to early-stage startups. With a focus on creating enduring value, Venture Catalysts invests between $250K and $2Mn in promising startups. They not only provide funding but also facilitate follow-on rounds by leveraging their industry relationships with venture capitalists. Through their extensive network and expertise, Venture Catalysts plays a crucial role in nurturing and scaling startups, contributing to the overall development of the entrepreneurial ecosystem."
Venture HIghway,VC (Tier 1),Akul Jindal,VC at Venture HIghway,https://www.venturehighway.vc/,https://www.linkedin.com/in/akuljindal/,https://twitter.com/akuljindal2,$10M - $20M,"Fintech, SaaS, Consumer","Airmeet, cars24, Curelink, Fampay, Haedout, Meesho, Meragi, Sharechat","Venture Highway is a strategic venture capital firm that partners with the next generation of entrepreneurs, offering them guidance and capital to turn their early-stage nascent ideas in technology into successful businesses. With a diverse portfolio that includes notable startups like Airmeet, cars24, Fampay, Headout, Meesho, and Sharechat, Venture Highway has demonstrated its ability to identify and support innovative ventures across different sectors. By providing both financial support and expertise, Venture Highway plays a crucial role in nurturing and accelerating the growth of promising technology startups in India. Venture highway has an average investment size of $1M."
Meesho,Angel Investor,Vidit Aatrey,Founder & CEO at Meesho,,https://www.linkedin.com/in/vidit-aatrey-a3639120/,,,"AI/ML, Fintech, Edtech, SaaS","Turnip, Murf.ai, Decentro, Vahak","Vidit Aatrey emerges as a distinguished Angel Investor hailing from Bengaluru, renowned for his strategic investments that drive innovation and transformation. With a discerning eye for potential, Vidit's investment interests span a wide spectrum of sectors, including Apps, Food and Beverage, and Edu-Tech. His contributions to the startup ecosystem have played a pivotal role in propelling groundbreaking ventures forward. Noteworthy among his investments are pioneering startups such as Bluelearn, Medbikri, Solarsquare, and an impressive array of nineteen additional innovative enterprises. Vidit Aatrey's investment choices mirror not only his insightful understanding of emerging market dynamics but also his commitment to fostering the growth of startups. Beyond providing financial backing, he offers his experience, insights, and a valuable network that contribute significantly to the startups' development and success."
Paytm,Angel Investor,Vijay Shekhar Sharma,Founder & CEO at Paytm,,https://www.linkedin.com/in/vijayshekhar/,https://twitter.com/vijayshekhar,$1M - $3M,"Fintech, Consumer, Edtech","Unacademy, GOQii, Flyrobe, sourceeasy, InnerChef, The Ken, Milaap","Vijay Sekhar Sharma, a self-made Indian billionaire businessman, is not only an angel investor but also the founder and CEO of One97 Communications and the fintech company Paytm. With his entrepreneurial acumen and visionary leadership, Vijay has made significant contributions to the Indian business landscape. As an angel investor, he actively supports and invests in promising startups, leveraging his vast experience and network to fuel their growth and success."
V R Forklift Marketing Pvt Ltd,Angel Investor,Vikas Bagaria,"Managing Director at V R Forklift Marketing Pvt Ltd,",,https://www.linkedin.com/in/vikkivik/?ref=ynos.in,https://twitter.com/vikkivik,,"AI/ML, HealthTech, Edtech, Consumer, Media","Advantage care, dibz, Asadeltech","Vikas Bagaria, a seasoned entrepreneur with over 23 years of experience, cofounded PeeSafe in 2013, a rapidly growing personal hygiene brand. Inspired during a road trip when his wife fell ill with a Urinary Tract Infection, they created a Toilet Seat Sanitizer Spray. In 2020, PeeSafe was recognized as The Best SMB Brand of the Year by Amazon India. It's now available in 70 cities, five countries, and over 5000 stores with a diverse product range. Apart from PeeSafe, Vikas supports Indian companies with conditionalbased monitoring systems. He also founded SafetyKart.com in response to the Nirbhaya rape case. Vikas is a Child Safety Auditor and operates from various locations. He enjoys quizzing, adventure sports, cycling, wildlife photography, and technology. Additionally, he's an investor in several startups. His advice to young entrepreneurs is to ""Celebrate exit, not funding."""
Reliance Jio,Angel Investor,Vikas Choudhury,President at Reliance Jio,,https://www.linkedin.com/in/vikaschoudhury/,,-,"Fintech, Edtech, SaaS","Testbook, Bytelearn, Exotel, Gobillion","Vikas Choudhury is a Digital Futurist, Tech Economist, and Strategic Leader with extensive experience in operating, investing, and M&A in multinational public companies. Currently serving as President at Reliance Jio, a prominent consumer conglomerate in digital, telecom, and retail, he has led various business initiatives, including acquisitions in technology and commerce and expansion into e-commerce."
SucSEED Indovation Fund,Angel Investor,Vikrant Varshney,Managing Partner at SucSEED Indovation Fund,,https://www.linkedin.com/in/vikrantvarshney-indovation/?originalSubdomain=in,,-,"SaaS, Consumer","Pixuate, Spintly, Letzconnect, 6degree.","Vikrant Varshney is a seasoned Angel investor with a successful track record in the venture capital and private equity sector. He possesses expertise in Disruptive Technologies, Start-up Ventures, Strategy, Angel Investing, and Executive Management. Vikrant's strong domain focus lies in Risk & Regulatory Tech, complemented by his proficiency in business development and Executive Leadership. He is an alumnus of the Executive Leadership Management program for Senior Executives from the prestigious Indian School of Business, holding an MBA from IMI, Delhi, and a BTech degree from AMU. With his extensive experience and skills, Vikrant plays a vital role in supporting and nurturing promising startups in the ever-evolving entrepreneurial landscape."
Inflection Point Ventures,Angel Investor,Vinay Bansal,Cofounder  at Inflection Point Ventures,,https://www.linkedin.com/in/vinay-bansal-383b035/,,Up to $1M,"HealthTech, SaaS, Mobility, Consumer","Crofarm, Milkbasket, Edvizo, Fitso, Oga","Vinay Bansal is a highly experienced finance professional and turnaround specialist, with a career spanning over 20 years in Fortune 50 companies, private equity, and startups. Previously, he served as Senior Advisor at TPG Global and held the positions of CFO and CIO at Wildcraft India. With a Chartered Accountant qualification, Vinay brings a strong financial acumen to his roles. Prior to his involvement with startups and private equity, he held leadership positions in renowned companies such as GE, where he served as CFO of Supply Chain for South Asia, and Hindustan Unilever. Apart from his professional achievements, Vinay is also an active sports enthusiast, with a passion for badminton, swimming, and long-distance running."
ProfitWheel,Angel Investor,Vivek Bhargava,CoFounder at ProfitWheel,,https://www.linkedin.com/in/vivekbhargava/,https://twitter.com/vivekbhargava?lang=en,,"AI/ML, Fintech, SaaS, Mobility, Consumer, Media","Boxx.ai, Infeedo, Windo, Futwork","Vivek Bhargava holds a prominent position as the Head of the Dan Performance Group at Dentsu Aegis Network, and is the CoFounder of ProfitWheel. Additionally, he serves as the CEO for India at iProspectCommunicate 2. With an impressive career trajectory, Vivek's roles encompass strategic leadership within the dynamic realms of digital marketing and performance management. At Dentsu Aegis Network, Vivek Bhargava leads the Dan Performance Group, overseeing critical strategies and initiatives that drive optimal performance across various digital platforms. Simultaneously, his role as CEO India at iProspectCommunicate 2 underscores his authoritative role in shaping the digital landscape within the Indian market. Vivek's leadership transcends mere titles, symbolizing his expertise and visionary approach. In his capacity at Dentsu Aegis Network, he steers the Dan Performance Group towards achieving digital excellence, harnessing the power of datadriven strategies to deliver superior results. As the CEO India at iProspectCommunicate 2, he drives innovation and market penetration within India's dynamic digital marketing arena."
